urn,data_pubblicazione
urn:nir:stato:decreto.del.presidente.della.repubblica:1972;633,1972-11-11
urn:nir:stato:decreto.del.presidente.della.repubblica:1972;641,1972-11-11
urn:nir:stato:decreto.del.presidente.della.repubblica:1972;642,1972-11-11
urn:nir:stato:decreto.del.presidente.della.repubblica:1973;601,1973-10-16
urn:nir:stato:decreto.del.presidente.della.repubblica:1973;602,1973-10-16
urn:nir:stato:decreto.del.presidente.della.repubblica:1986;131,1986-04-30
urn:nir:stato:decreto.del.presidente.della.repubblica:2000;445,2001-02-20
urn:nir:stato:decreto.del.presidente.della.repubblica:2002;115,2002-06-15
urn:nir:stato:decreto.legge:1982;953,1982-12-31
urn:nir:stato:decreto.legge:1990;90,1990-04-30
urn:nir:stato:decreto.legge:1991;417,1992-01-02
urn:nir:stato:decreto.legge:1993;331,1993-08-30
urn:nir:stato:decreto.legge:1994;330,1994-06-01
urn:nir:stato:decreto.legge:1995;41,1995-02-23
urn:nir:stato:decreto.legge:1996;669,1996-12-31
urn:nir:stato:decreto.legge:1997;457,1997-12-31
urn:nir:stato:decreto.legge:2002;63,2002-04-17
urn:nir:stato:decreto.legge:2003;269,2003-10-02
urn:nir:stato:decreto.legge:2005;35,2005-03-16
urn:nir:stato:decreto.legge:2006;223,2006-07-04
urn:nir:stato:decreto.legge:2008;185,2008-11-29
urn:nir:stato:decreto.legge:2009;194,2009-12-30
urn:nir:stato:decreto.legge:2010;78,2010-05-31
urn:nir:stato:decreto.legge:2011;201,2011-12-06
urn:nir:stato:decreto.legge:2011;70,2011-05-13
urn:nir:stato:decreto.legge:2012;179,2012-10-19
urn:nir:stato:decreto.legge:2012;63,2012-05-21
urn:nir:stato:decreto.legge:2012;83,2012-06-26
urn:nir:stato:decreto.legge:2013;145,2013-12-23
urn:nir:stato:decreto.legge:2013;149,2013-12-28
urn:nir:stato:decreto.legge:2013;63,2013-06-05
urn:nir:stato:decreto.legge:2013;91,2013-08-09
urn:nir:stato:decreto.legge:2014;133,2014-09-12
urn:nir:stato:decreto.legge:2014;47,2014-03-28
urn:nir:stato:decreto.legge:2014;83,2014-05-31
urn:nir:stato:decreto.legge:2014;91,2014-06-24
urn:nir:stato:decreto.legge:2015;3,2015-01-24
urn:nir:stato:decreto.legge:2015;83,2015-06-27
